,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
3927,3529,1.26447969405692,0.353026127088648,0.155945531157487,0.61140867416437,-0.159748965265858,-0.852024623104028,0.125871945336698,-0.21226470596819,-0.0214894525030917,-0.301409652499454,-0.300218489672354,0.389109759912159,0.802730078462992,-0.40896095519885,1.06518013094557,0.560556823420714,-0.164985917131523,-0.242867988461271,-0.0692431750687753,-0.017827590196023,-0.299864384188975,-0.858969914317788,0.0707678396867969,-0.0004404580209006,0.27808524162774,0.114028422620985,-0.0219082370171496,0.0298547871277166,10.85,0.0
54,37,1.29566762073068,0.341483451353791,0.0815051987484797,0.566746069705835,-0.110458773277264,-0.766324792720234,0.0731549033988192,-0.168304137620736,0.0718371100236598,-0.28104399420091,-0.549533938889144,0.0490931624959103,0.303950022826475,-0.316750192452704,1.13489720516941,0.635909577425588,-0.199763166132168,-0.122051064207473,0.0045161815786887,-0.0659833832780103,-0.323607229319987,-0.929781372142459,0.063808805668539,-0.193565114648984,0.287574217952475,0.127880985217088,-0.0237311930875266,0.0251996726837571,0.99,0.0
3367,2912,-0.29997731343848,0.610907773610619,0.728168334825084,-2.2202740496292,0.482689990459355,-1.05105691929229,1.08185977771102,-0.327362676149691,1.05661251703302,-1.11638643708934,-1.2772666259884,-0.633817031020961,-1.16331431653186,0.247078376976707,1.06484550262329,-0.285278557285008,-0.812604620270737,0.449979129888661,0.221988965867493,-0.0127965284086219,-0.0072442635409326,0.310790992575203,-0.386527079654057,-0.479327832682161,0.14803316421642,-0.783789201619392,0.230621171289608,-0.0245313772473885,1.0,0.0
2513,2088,-0.692958943119246,0.120150098610641,2.17913418062923,-1.49650620458495,-1.04226765352929,-0.344733305681907,-0.19505465804037,0.134553978724056,-0.504155138611069,0.0538179784128313,-0.210305314041178,-0.339280141436537,0.0336051763888743,-0.909793592869618,-0.677575296243439,0.528794808029312,0.720183497001203,-1.79699238591682,-0.491043253759558,0.098920031937509,0.401121057417612,1.35762217196903,-0.178146207536854,0.65893392108178,-0.0575303986626553,-0.190667743740496,0.269086231253632,0.184927186706776,19.28,0.0
2220,1749,0.892181730906991,-0.820492559007636,-0.493787691986702,0.297403689998265,1.38249666860301,4.11731213184375,-0.924493806904803,1.04854360694477,0.742127417952129,-0.217243280173151,-0.563218513940256,0.308856936446539,0.004130233927687,-0.179125232220231,0.387837651038701,0.42638124114459,-0.742264352705917,0.41739716241433,0.108822058511795,0.322316629751,-0.0166493614821813,-0.365369513699602,-0.184179593835089,1.00942702593785,0.513839981915053,-0.410996019183569,0.0438480279557226,0.0599497498360767,173.0,0.0
327,239,1.16752665064507,-0.318288402459783,0.502463956274064,0.0339040538689639,-0.584284751589151,0.0245916884758148,-0.41373755283127,0.186412000534142,0.605944768348411,-0.221309819249767,1.11579321751842,0.941680713570008,-0.744337284208546,0.111580899397211,-0.686027922518499,-0.433618407727209,0.250640521635578,-0.596921963915549,0.394674869539615,-0.138335663486367,-0.0405441754050944,0.092396039733822,-0.0383209193849185,0.115914748956021,0.319733279260604,1.12532706189125,-0.058855273536438,-0.0141915693890441,10.0,0.0
2268,1815,0.851407838367669,-0.175495507163518,0.21540396873592,1.11886826017312,-0.229512293883467,-0.222476486740436,0.277401033309467,-0.028629437569493,-0.38891820564271,0.0540247365166724,1.79674577301229,1.30378549508448,0.388595775763598,0.560311019391386,0.41993376352495,-0.110194155439255,-0.348744162094057,-0.202567518475835,-0.568092634390663,0.169827421613809,0.217856675332363,0.352297661033281,-0.196432159814187,0.258155452047572,0.518932208999915,-0.346636510636604,0.0013210892977084,0.036319837097482,155.98,0.0
2330,1872,-1.27166770037799,1.88904711187574,1.30446323795856,2.48437984777315,-0.0333943313734128,0.982198311889953,-0.130141188185063,0.958382818606263,-1.35148221965117,1.35019574181378,1.40206669010875,0.0771705725917431,-0.930893773102361,0.893566747711572,1.18869022851428,-0.249806491257328,0.49920454225956,-0.387158979592542,0.358890800907485,0.29420270327281,-0.117968678094729,-0.269060662558805,0.144826429184229,-0.367248239194429,-0.49522180421918,0.0170211163116364,0.488300794074231,0.245244004708621,2.27,0.0
1437,1114,-1.89660909080384,-0.874932291434351,2.1717070787695,-0.295549942504635,1.12040662931813,0.995729388219279,0.0735230491034562,-1.39383062663389,1.67216149119107,0.719138955077571,-1.51824955489942,-0.652741948490748,-0.254722560180701,-1.58558377310087,0.582556477230586,-0.649260579374889,-0.172365016652583,-0.483300209987628,1.59466818306207,-0.116075030953971,0.13959659480996,-0.629399942401919,-0.210825922731548,-1.24852463741965,0.107218124785061,1.08708875749889,-0.754107274930395,-0.335591929966096,53.02,0.0
3088,2645,1.04983755198728,-0.614592062343275,0.971743698256342,0.0307581785565179,-1.06356740955066,0.0787769766188302,-0.680323686257757,0.174463683446715,0.804981205489678,-0.262880039443813,0.803037108899725,1.18401621095488,0.327700925582382,-0.309180826966153,-0.401168085973882,0.451947377416305,-0.459060179986268,0.194951256991162,0.620434696822528,0.130782122665854,-0.0387714445005678,-0.112728760730859,-0.0641394270372195,0.0850036812407538,0.107326394692652,0.984595165018314,-0.0509516875263163,0.0166811875789022,85.14,0.0
